# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Odometry Data Fomat:
# Time [s]    forward velocity [m/s]    angular velocity[rad/s]
1248294059.496 	  0.086 	 -0.398
1248294059.507 	  0.086 	 -0.398
1248294059.548 	  0.086 	 -0.398
1248294059.558 	  0.086 	 -0.398
1248294059.599 	  0.086 	 -0.398
1248294059.619 	  0.086 	 -0.398
1248294059.630 	  0.086 	 -0.398
1248294059.660 	  0.086 	 -0.398
1248294059.691 	  0.086 	 -0.398
1248294059.722 	  0.086 	 -0.398
1248294059.742 	  0.086 	 -0.398
1248294059.803 	  0.086 	 -0.398
1248294059.854 	  0.086 	 -0.398
1248294059.916 	  0.086 	 -0.398
1248294059.967 	  0.086 	 -0.398
1248294059.977 	  0.086 	 -0.398
1248294060.008 	  0.000 	  0.000
1248294060.018 	  0.086 	 -0.398
1248294060.049 	  0.086 	 -0.398
1248294060.090 	  0.086 	 -0.398
1248294060.151 	  0.086 	 -0.398
1248294060.172 	  0.086 	 -0.398
1248294060.212 	  0.086 	 -0.398
1248294060.223 	  0.086 	 -0.398
1248294060.254 	  0.086 	 -0.398
1248294060.284 	  0.086 	 -0.398
1248294060.325 	  0.086 	 -0.398
1248294060.376 	  0.086 	 -0.398
1248294060.386 	  0.086 	 -0.398
1248294060.448 	  0.086 	 -0.398
1248294060.458 	  0.086 	 -0.398
1248294060.499 	  0.086 	 -0.398
1248294060.519 	  0.086 	 -0.398
1248294060.560 	  0.086 	 -0.398
1248294060.621 	  0.086 	 -0.398
1248294060.642 	  0.086 	 -0.398
1248294060.672 	  0.086 	 -0.398
1248294060.693 	  0.086 	 -0.398
1248294060.723 	  0.086 	 -0.398
1248294060.794 	  0.086 	 -0.398
1248294060.845 	  0.086 	 -0.398
1248294060.906 	  0.086 	 -0.398
1248294060.956 	  0.086 	 -0.398
1248294060.987 	  0.086 	 -0.398
1248294061.007 	  0.000 	  0.000
1248294061.017 	  0.000 	  0.000
1248294061.028 	  0.086 	 -0.398
1248294061.088 	  0.086 	 -0.398
1248294061.099 	  0.086 	 -0.398
1248294061.149 	  0.086 	 -0.398
1248294061.170 	  0.086 	 -0.398
1248294061.210 	  0.086 	 -0.398
1248294061.251 	  0.086 	 -0.398
1248294061.312 	  0.086 	 -0.398
1248294061.332 	  0.086 	 -0.398
1248294061.373 	  0.086 	 -0.398
1248294061.424 	  0.086 	 -0.398
1248294061.484 	  0.086 	 -0.398
1248294061.525 	  0.086 	 -0.398
1248294061.535 	  0.086 	 -0.398
1248294061.596 	  0.086 	 -0.398
1248294061.606 	  0.086 	 -0.398
1248294061.647 	  0.086 	 -0.398
1248294061.677 	  0.086 	 -0.398
1248294061.718 	  0.086 	 -0.398
1248294061.768 	  0.086 	 -0.398
1248294061.778 	  0.086 	 -0.398
1248294061.809 	  0.086 	 -0.398
1248294061.839 	  0.086 	 -0.398
1248294061.860 	  0.086 	 -0.398
1248294061.870 	  0.086 	 -0.398
1248294061.900 	  0.086 	 -0.398
1248294061.931 	  0.086 	 -0.398
1248294061.951 	  0.086 	 -0.398
1248294061.961 	  0.086 	 -0.398
1248294062.002 	  0.000 	  0.000
1248294062.012 	  0.086 	 -0.398
1248294062.032 	  0.086 	 -0.398
1248294062.053 	  0.086 	 -0.398
1248294062.103 	  0.086 	 -0.398
1248294062.113 	  0.086 	 -0.398
1248294062.174 	  0.086 	 -0.398
1248294062.205 	  0.086 	 -0.398
1248294062.225 	  0.086 	 -0.398
1248294062.255 	  0.086 	 -0.398
1248294062.265 	  0.086 	 -0.398
1248294062.316 	  0.086 	 -0.398
1248294062.357 	  0.086 	 -0.398
1248294062.367 	  0.086 	 -0.398
1248294062.397 	  0.086 	 -0.396
1248294062.408 	  0.085 	 -0.396
1248294062.458 	  0.084 	 -0.390
1248294062.499 	  0.084 	 -0.386
